,0
0,Alabama
1,Arkansas
2,Connecticut
3,Illinois
4,Iowa
5,Maryland
6,Massachusetts
7,Michigan
8,Minnesota
9,Mississippi
10,Missouri
11,Nebraska
12,New Hampshire
13,North Carolina
14,North Dakota
15,Oklahoma
16,Rhode Island
17,South Carolina
18,South Dakota
19,Tennessee
20,Utah
21,Vermont
22,West Virginia
23,Wisconsin
24,Wyoming
